product_ID,name,price,rating,review_count,store,image_url,product_link,affiliate_link,menu,type,filter,subfilter
1967,"SSD interno PNY CS900 500 GB 3D NAND 2,5"" SATA III - (SSD7CS900-500-RB)",Preço não disponível,"4,8",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/61cyHqB+KmL._AC_UL320_.jpg,https://www.amazon.com.br/PNY-Unidade-estado-s%C3%B3lido-interno/dp/B07XZLN9KM/ref=sr_1_101?c=ts&dib=eyJ2IjoiMSJ9.t82eA9p40hLWVUFDKzDUWajO7Q-6izPQWFelY8xA4L2vtrNBJG2yhZJtNEcbW1CcVna8sjudxo0KIsMKNORJasbgW_UCOoM87ZU6XhAU-94.5Y6qvE9h3FMsdaoKWKdQ23gSrgfDRVrNKxYJ4hEQnpo&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-101&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B07XZLN9KM?tag=bragoon-20,computadores,componentes,hd_ssd,
1968,"ORICO OSC SSD M.2 NVMe de 1 TB para PC desktop, SSD interno PCIe 4.0 com leitura de 7450 MB/s, TLC NAND, dissipador de calor com aletas de nível profissional pré-instalado, resfriamento IceArmor","R$ 1.754,42","4,8",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/718k1xO2i3L._AC_UL320_.jpg,https://www.amazon.com.br/ORICO-OSC-profissional-pr%C3%A9-instalado-resfriamento/dp/B0F6LDHWLZ/ref=sr_1_102?c=ts&dib=eyJ2IjoiMSJ9.t82eA9p40hLWVUFDKzDUWajO7Q-6izPQWFelY8xA4L2vtrNBJG2yhZJtNEcbW1CcVna8sjudxo0KIsMKNORJasbgW_UCOoM87ZU6XhAU-94.5Y6qvE9h3FMsdaoKWKdQ23gSrgfDRVrNKxYJ4hEQnpo&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-102&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B0F6LDHWLZ?tag=bragoon-20,computadores,componentes,hd_ssd,
1969,"SANDISK Unidade de estado sólido interna SSD Plus 2TB - SATA III 6 Gb/s, 7 mm, velocidades de leitura/gravação de até 545 MB/s / 515 MB/s - SDSSDA-2T00-G28",Preço não disponível,"4,7",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/61RE7kJmMxL._AC_UL320_.jpg,https://www.amazon.com.br/SANDISK-Unidade-estado-s%C3%B3lido-interna/dp/B0F4Y3DH17/ref=sr_1_103?c=ts&dib=eyJ2IjoiMSJ9.t82eA9p40hLWVUFDKzDUWajO7Q-6izPQWFelY8xA4L2vtrNBJG2yhZJtNEcbW1CcVna8sjudxo0KIsMKNORJasbgW_UCOoM87ZU6XhAU-94.5Y6qvE9h3FMsdaoKWKdQ23gSrgfDRVrNKxYJ4hEQnpo&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-103&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B0F4Y3DH17?tag=bragoon-20,computadores,componentes,hd_ssd,
1970,"2TB PNY CS900 2,5 polegadas serial ATA III Unidade de Estado Sólido Interno",Preço não disponível,"4,5",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/61cyHqB+KmL._AC_UL320_.jpg,https://www.amazon.com.br/PNY-polegadas-serial-Unidade-Interno/dp/B08GB8S6R3/ref=sr_1_104?c=ts&dib=eyJ2IjoiMSJ9.t82eA9p40hLWVUFDKzDUWajO7Q-6izPQWFelY8xA4L2vtrNBJG2yhZJtNEcbW1CcVna8sjudxo0KIsMKNORJasbgW_UCOoM87ZU6XhAU-94.5Y6qvE9h3FMsdaoKWKdQ23gSrgfDRVrNKxYJ4hEQnpo&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-104&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B08GB8S6R3?tag=bragoon-20,computadores,componentes,hd_ssd,
1971,"Kingston SSD 2TB NVME M.2, preto, SNVS/2000G",Preço não disponível,"4,8",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/41GeRPItN3L._AC_UL320_.jpg,https://www.amazon.com.br/Kingston-NVME-preto-SNVS-2000G/dp/B091BG4HDW/ref=sr_1_105?c=ts&dib=eyJ2IjoiMSJ9.t82eA9p40hLWVUFDKzDUWajO7Q-6izPQWFelY8xA4L2vtrNBJG2yhZJtNEcbW1CcVna8sjudxo0KIsMKNORJasbgW_UCOoM87ZU6XhAU-94.5Y6qvE9h3FMsdaoKWKdQ23gSrgfDRVrNKxYJ4hEQnpo&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-105&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B091BG4HDW?tag=bragoon-20,computadores,componentes,hd_ssd,
1972,PNY CS2241 2TB M.2 NVMe Gen4 x4 Unidade de estado sólido interno (SSD) - M280CS2241-2TB-RB,"R$ 2.318,68","4,8",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/51Wd9dZkWEL._AC_UL320_.jpg,https://www.amazon.com.br/PNY-CS2241-Unidade-estado-interno/dp/B0BYLNY4V8/ref=sr_1_106?c=ts&dib=eyJ2IjoiMSJ9.t82eA9p40hLWVUFDKzDUWajO7Q-6izPQWFelY8xA4L2vtrNBJG2yhZJtNEcbW1CcVna8sjudxo0KIsMKNORJasbgW_UCOoM87ZU6XhAU-94.5Y6qvE9h3FMsdaoKWKdQ23gSrgfDRVrNKxYJ4hEQnpo&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-106&ts_id=17028669011&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B0BYLNY4V8?tag=bragoon-20,computadores,componentes,hd_ssd,
1973,"ORICO NVMe SSD 1TB M.2 com dissipador de calor, unidade de estado sólido interna PCIe Gen3x4 2280 de até 3100 MB/s, cache SLC 3D NAND, compatível com laptops e PCs desktops -J10","R$ 1.486,70","4,5",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/616Dz0H+RoL._AC_UL320_.jpg,https://www.amazon.com.br/ORICO-dissipador-unidade-compat%C3%ADvel-desktops/dp/B0CWQ7TK7Q/ref=sr_1_97?c=ts&dib=eyJ2IjoiMSJ9.TQKISwX7XYFZXbvWoBJJgaYGEs1V4AeM30dZVM2w92_VW3NapKmFQ4eFUEdwsR6moxVgl38d1kFYQyXEsxj18Zc_uRtmIuDPLXf_hHqPFbYkG5hXbQXfxODJAehvQWLzuY4cyll1khFab7fSFhzUum84tzMovNbg5XwM6aArhj6N7DQaaO-W6wD2vz3f6kxUXeQG1Pm715b-bRP3STlAffVHfTD8q-wlhTvkDkfT5kxWJ2-_d9bjH2lr4x-ItZqs.3EEIgWiliPvYIUwE-1-3rsjHpiSymGHOj92fOT1DlSU&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-97&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B0CWQ7TK7Q?tag=bragoon-20,computadores,componentes,hd_ssd,
1974,SSD SanDisk Plus SATA III 240Gb SDSSDA-240G-G26,"R$ 548,00","5,0",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/41xyufAQQUL._AC_UL320_.jpg,https://www.amazon.com.br/SanDisk-Plus-SATA-240Gb-SDSSDA-240G-G26/dp/B09Q7B1TNN/ref=sr_1_98?c=ts&dib=eyJ2IjoiMSJ9.TQKISwX7XYFZXbvWoBJJgaYGEs1V4AeM30dZVM2w92_VW3NapKmFQ4eFUEdwsR6moxVgl38d1kFYQyXEsxj18Zc_uRtmIuDPLXf_hHqPFbYkG5hXbQXfxODJAehvQWLzuY4cyll1khFab7fSFhzUum84tzMovNbg5XwM6aArhj6N7DQaaO-W6wD2vz3f6kxUXeQG1Pm715b-bRP3STlAffVHfTD8q-wlhTvkDkfT5kxWJ2-_d9bjH2lr4x-ItZqs.3EEIgWiliPvYIUwE-1-3rsjHpiSymGHOj92fOT1DlSU&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-98&ts_id=17028669011&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B09Q7B1TNN?tag=bragoon-20,computadores,componentes,hd_ssd,
1975,"SSD 1TB Western Digital WD Blue SA510, SATA III, M.2 2280, Leitura/Grav. 560/520MB/s - WDS100T3B0B","R$ 3.210,14","4,2",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/41rYTciMKHL._AC_UL320_.jpg,https://www.amazon.com.br/Western-Digital-SA510-Leitura-Grav/dp/B09ZYNHPW2/ref=sr_1_99?c=ts&dib=eyJ2IjoiMSJ9.TQKISwX7XYFZXbvWoBJJgaYGEs1V4AeM30dZVM2w92_VW3NapKmFQ4eFUEdwsR6moxVgl38d1kFYQyXEsxj18Zc_uRtmIuDPLXf_hHqPFbYkG5hXbQXfxODJAehvQWLzuY4cyll1khFab7fSFhzUum84tzMovNbg5XwM6aArhj6N7DQaaO-W6wD2vz3f6kxUXeQG1Pm715b-bRP3STlAffVHfTD8q-wlhTvkDkfT5kxWJ2-_d9bjH2lr4x-ItZqs.3EEIgWiliPvYIUwE-1-3rsjHpiSymGHOj92fOT1DlSU&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-99&ts_id=17028669011&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B09ZYNHPW2?tag=bragoon-20,computadores,componentes,hd_ssd,
1976,"SanDisk SSD interno Ultra 3D NAND 500GB - SATA III 6 Gb/s, 2,5 polegadas/7 mm, até 560 MB/s - SDSSDH3-500G-G26","R$ 1.686,54","4,3",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/51f62G0nitL._AC_UL320_.jpg,https://www.amazon.com.br/SanDisk-interno-Ultra-NAND-SDSSDH3-500G-G26/dp/B0B7VWFN4B/ref=sr_1_100?c=ts&dib=eyJ2IjoiMSJ9.TQKISwX7XYFZXbvWoBJJgaYGEs1V4AeM30dZVM2w92_VW3NapKmFQ4eFUEdwsR6moxVgl38d1kFYQyXEsxj18Zc_uRtmIuDPLXf_hHqPFbYkG5hXbQXfxODJAehvQWLzuY4cyll1khFab7fSFhzUum84tzMovNbg5XwM6aArhj6N7DQaaO-W6wD2vz3f6kxUXeQG1Pm715b-bRP3STlAffVHfTD8q-wlhTvkDkfT5kxWJ2-_d9bjH2lr4x-ItZqs.3EEIgWiliPvYIUwE-1-3rsjHpiSymGHOj92fOT1DlSU&dib_tag=se&keywords=Mem%C3%B3rias+e+Armazenamento+Internos&qid=1773292612&refinements=p_123%3A110452%7C120943%7C202186%7C224943%7C236718%7C244985%7C255322%7C256147%7C303719%7C338696%7C46655%7C5606%7C709805&rnid=119962938011&s=computers&sr=1-100&ts_id=17028669011&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=B-BaQlNY0THAq,https://www.amazon.com.br/dp/B0B7VWFN4B?tag=bragoon-20,computadores,componentes,hd_ssd,
